,gene,hl_rep1,hl_rep2,hl_rep3,hl_avg
2035,YOL018C,,4.164167810487022,5.536505305028603,4.850336557757813
1728,YBR158W,,3.2201631063386027,6.501948813437969,4.861055959888286
5008,YHR084W,,4.236287398384823,5.510276173025799,4.873281785705311
5013,YBL042C,,2.8244487275670385,6.929508291411327,4.876978509489183
685,YOR310C,5.822933122703878,4.961961186477464,3.9824761865299405,4.922456831903761
4987,YBR291C,4.867443106493203,3.820661613847564,6.120267401064401,4.93612404046839
962,YGR076C,,5.725228682740154,4.318460137856883,5.0218444102985185
344,YOL069W,,5.243745626201014,4.842755364871889,5.043250495536451
617,YPR034W,,5.7306341785743315,4.453195128845242,5.091914653709787
338,YPL255W,,5.883859784606126,4.461109220526415,5.17248450256627
5527,YFR034C,,3.316441266908021,7.17839360558347,5.247417436245746
360,YCR046C,,5.779196960316883,4.807399808592727,5.293298384454805
983,YPR187W,,5.1585867452420935,5.622585251533554,5.390585998387824
6016,YJL225C,6.575147052415066,4.763026992563691,4.988865929542081,5.442346658173612
1705,YHR170W,8.4443561362723,5.1306819772218555,2.758063427511923,5.44436718033536
3776,YDL167C,7.615777424321904,4.186589790064443,4.574230726780925,5.458865980389091
675,YOL021C,4.966232017898979,7.4393924707267045,4.147627717942229,5.517750735522637
3283,YNL232W,,4.217806157811005,6.846458012246049,5.532132085028527
2075,YKR024C,,3.7745628185914,7.384879578211297,5.579721198401349
1011,YDR369C,,,5.5826501486407,5.5826501486407
392,YMR270C,,4.004480686466816,7.1928770571272,5.5986788717970075
623,YBR060C,,6.6918597116630485,4.525407134436197,5.608633423049623
458,YGR080W,,6.924874414874048,4.339943975273405,5.632409195073727
6053,YFL068W,4.213553434550098,5.8573036677755725,7.021804526032086,5.697553876119252
481,YLR175W,6.412656136569074,4.939567032609604,5.756485615877145,5.702902928351942
671,YDL111C,,5.480232204583622,5.925809447902895,5.703020826243259
2076,YGL078C,,4.760619459614673,6.6910352900146535,5.7258273748146635
196,YKL068W,,4.071415794897137,7.424567370266109,5.747991582581623
625,YLR103C,,,5.768090035990144,5.768090035990144
207,YBR010W,7.125802815358812,5.446978977166146,4.769541745288808,5.780774512604588
1387,YLR413W,6.850467480009887,3.283956591907819,7.338590998784258,5.824338356900655
656,YIR008C,,,5.835113315047105,5.835113315047105
144,YBR254C,,,5.8525622607942305,5.8525622607942305
